subj_idx,trial,sot
510629,198,698677.547156667
510629,215,754748.379999368
510639,1,6056.25286722506
510639,2,7823.46464321521
510639,94,336326.392007373
510639,95,338093.677380736
510639,96,341594.906679403
510648,2,7786.5500444055
510648,53,188301.559756382
510648,76,267213.33458024
510648,87,311029.054003008
510648,102,361880.618443479
510648,110,388173.449071037
510648,111,389940.74707575
510648,114,403962.450517669
510648,115,405729.786475072
510648,125,442542.999904479
510648,126,444310.333313203
510648,127,449562.183510363
510648,153,540678.310936778
510648,157,554700.170270025
510648,176,617756.679578602
510648,187,658037.336725519
510648,195,686064.050855151
510648,201,708822.959580733
510648,202,714074.107455782
510648,205,724611.23849345
510648,210,738649.629870889
510648,214,752671.35381236
510648,215,754438.639981527
512003,1,6052.03516114389
512003,31,111424.270739111
512003,50,181650.158948469
512003,86,304445.481288362
512003,132,465689.017652608
512003,155,548002.745202392
512003,213,747742.481294282
520002,16,62284.3702605517
520002,117,415144.904539229
520002,118,416912.173841411
520002,126,444972.298872692
520002,143,504527.619652887
520002,144,506294.379528473
520055,63,225656.159488445
520055,96,341365.399486866
520055,135,476315.958385601
520055,156,549908.985640135
520065,94,336116.351679521
520097,166,584959.220506819
520127,122,429011.939432083
520239,10,35944.5168133699
520239,187,658438.395862181
520239,189,665441.552565661
520239,196,689983.307022807
520253,53,188308.667030594
520253,185,654494.110931647
520253,201,708830.266702981
520253,207,731604.478704307
520253,213,747394.194851725
520745,118,416811.055212021
520745,129,458876.233934485
610028,166,585171.952871358
610028,208,734208.992887621
610046,14,57022.0860028815
610046,40,143303.849160631
610046,72,257529.20131915
610046,86,304880.615163117
610046,97,343444.090343603
610046,122,429326.358997809
610046,123,432826.96612485
610046,124,436328.262243976
610046,163,578263.819911188
610046,187,658876.840736545
610046,198,699158.351318163
610046,208,734188.423998105
610061,25,92250.9864249429
610061,67,238236.927268134
610061,75,264529.790689055
610061,83,297825.123842398
610061,87,311846.778546815
610061,100,353928.612904435
610061,113,397761.1431282
610061,160,564321.055127552
610061,186,657155.13550269
610061,188,664173.739640888
610061,199,702720.933783704
610061,209,736016.26517701
610288,9,34235.2819643336
610288,10,36035.9269747541
610288,19,69497.8644311382
610288,120,425825.685251512
610288,126,445115.170220803
610288,201,709626.821850577
610392,28,101030.488803543
610392,29,102797.711305398
610392,86,304703.887722816
610392,160,564146.044366247
610392,165,583420.175434185
610392,166,585186.745839715
610405,159,560473.677988293
610405,160,563974.178199071
610405,161,565741.588055513
610496,1,6071.33168722493
610496,2,7838.68582407389
610496,3,11356.5815863743
610496,4,18359.1772701257
610496,5,20143.2332720204
610496,6,25411.7896299513
610496,7,28913.0571197379
610496,8,32414.3698150743
610496,9,34198.3177619452
610496,10,35982.3193451617
610496,11,39516.954007776
610496,12,43018.2429694685
610496,13,53538.7730442677
610496,14,57073.4176881328
610496,15,60574.7181223233
610496,16,62358.6973759103
610496,17,65893.3253298861
610496,18,67677.4197454065
610496,19,69461.3234379996
610496,20,74729.9515064438
610496,21,78248.6216830804
610496,22,81749.1710876473
610496,23,87034.4700897985
610496,24,88818.4455296138
610496,25,92337.2382940259
610496,26,94137.0778472044
610496,27,99422.3584850698
610496,28,101189.667554521
610496,29,102973.654830764
610496,30,106491.637025005
610496,31,111760.251531311
610496,32,113544.213532929
610496,33,115328.197506957
610496,34,120580.14211214
610496,35,124098.08014723
610496,36,127632.733417672
610496,37,134635.298992283
610496,38,136419.377218418
610496,39,138170.662411336
610496,40,143438.547601887
610496,41,146939.826008802
610496,42,150457.840433796
610496,43,155726.440483925
610496,44,160978.338121929
610496,45,162745.651569599
610496,46,164529.648967613
610496,47,168064.282114903
610496,48,169815.579809351
610496,49,180318.796040577
610496,50,182119.456871855
610496,51,183903.465957094
610496,52,187404.725231996
610496,53,189188.772003395
610496,54,192706.694942864
610496,55,199725.939643569
610496,56,201477.234503543
610496,57,203260.598789003
610496,58,206778.516199649
610496,59,210313.205280941
610496,60,215565.101799522
610496,61,217332.418153506
610496,62,219099.786607985
610496,63,226102.305175946
610496,64,227853.612417849
610496,65,231354.246866131
610496,66,236606.181700053
610496,67,238373.489669818
610496,68,240140.812615209
610496,69,243642.102984468
610496,70,250628.191333162
610496,71,252395.348967219
610496,72,257647.253565691
610496,73,261148.544936746
610496,74,262899.804855434
610496,75,264666.512759281
610496,76,268167.803066175
610496,77,269935.114355128
610496,78,276921.011839586
610496,79,280422.301710711
610496,80,282173.58930865
610496,81,289159.23928477
610496,82,290926.200535633
610496,83,297928.755277191
610496,84,299680.120806805
610496,85,303180.689157078
610496,86,304931.99489313
610496,87,311933.90192978
610496,88,315435.250935286
610496,89,318936.481673212
610496,90,320687.788264619
610496,91,322454.450226766
610496,92,329440.358557303
610496,93,334692.286673903
610496,94,336443.67003217
610496,95,338210.25464051
610496,96,341711.53970475
610496,97,343478.855169828
610496,98,346980.235089305
610496,99,350481.437831416
610496,100,353982.728220016
610496,101,359234.655282717
610496,102,362736.014018828
610496,103,364503.269202076
610496,104,368004.553576348
610496,105,373256.493079003
610496,106,376757.77191932
610496,107,380259.062755531
610496,108,383760.361300598
610496,109,385527.677202234
610496,110,389028.962885788
610496,111,390780.196782253
610496,112,392546.938474412
610496,113,397798.860521818
610496,114,404785.090478596
610496,115,406552.084094022
610496,116,408319.404113758
610496,117,415322.009677712
610496,118,417089.360503661
610496,119,424075.677491168
610496,120,425842.524897274
610496,121,427609.848079891
610496,122,429377.159719355
610496,123,432878.433594111
610496,124,436379.740882591
610496,125,443365.648093706
610496,126,445116.902735006
610496,127,450368.222723164
610496,128,457370.80603288
610496,129,459138.101678738
610496,130,462639.407986343
610496,131,464390.706199451
610496,132,466157.396371351
610496,133,469658.656133336
610496,134,474910.595382186
610496,135,476661.77622649
610496,136,483647.38824291
610496,137,487148.439484497
610496,138,488915.764428743
610496,139,490683.079788036
610496,140,495935.014676035
610496,141,499436.324120468
610496,142,502937.59880045
610496,143,504688.818177979
610496,144,506455.558558487
610496,145,511707.50016815
610496,146,516959.436846198
610496,147,520460.718265211
610496,148,522212.067479919
610496,149,529213.981896229
610496,150,530981.262899998
610496,151,534482.597287888
610496,152,537983.838861237
610496,153,541485.144401508
610496,154,546737.068931299
610496,155,548488.424140994
610496,156,550255.017405514
610496,157,555506.950404389
610496,158,559008.264156388
610496,159,560775.558990704
610496,160,564276.868994454
610496,161,566028.042800134
610496,162,567794.861976356
610496,163,578282.027538337
610496,164,581783.3219357
610496,165,583550.633075056
610496,166,585317.945260416
610496,167,590569.891653279
610496,168,592337.203203931
610496,169,599339.881496378
610496,170,601107.106012749
610496,171,604608.391376976
610496,172,606375.767872664
610496,173,608143.026777714
610496,174,613394.969794944
610496,175,616896.280977323
610496,176,618647.614164085
610496,177,622148.223335767
610496,178,623899.552441138
610496,179,627400.161027847
610496,180,630901.425076477
610496,181,641388.620692337
610496,182,644889.941231522
610496,183,648391.205392252
610496,184,653643.258923997
610496,185,655410.461677949
610496,186,657161.617184472
610496,187,658928.486227871
610496,188,664180.428074365
610496,189,665947.673542797
610496,190,672950.258530068
610496,191,676451.541043241
610496,192,678202.857183682
610496,193,679969.507699777
610496,194,681720.735913478
610496,195,686972.095338767
610496,196,690473.384398745
610496,197,693974.737803391
610496,198,699226.602435809
